name,preis,alter,kilometer,hersteller,modell,fahrzeugtyp,getriebe,ps,kraftstoff,schaden,plz,stadt,bundesland,lon,lat
Smart_MC_01_PURE_Fortwo__kein_Cabrio__schwarz__Tuev_HU_AU_neu,1950,14,125000,smart,fortwo,kleinwagen,automatik,45,benzin,nein,26736,Krummhörn,niedersachsen,7.0913086,53.4396973
Mercedes_Benz_A_160_Elegance,555,18,150000,mercedes_benz,a_klasse,limousine,manuell,102,benzin,nein,35274,"Kirchhain, Stadt",hessen,8.928100599999999,50.8272705
Audi_A4_2.0_TDI_/_S_line_/_1.Hand_/_B&O_/_Bi_Xenon,17500,7,150000,audi,a4,limousine,manuell,170,diesel,nein,78727,"Oberndorf am Neckar, Stadt",baden-württemberg,8.573913599999997,48.3004761
Volvo_V70_2.5,500,19,150000,volvo,v70,kombi,manuell,170,benzin,nein,87600,Kaufbeuren,bayern,10.6218872,47.8825073
Ford_Focus_2.0_Sport_Turnier,5850,10,150000,ford,focus,kombi,manuell,145,benzin,nein,94535,"Eging a.See, M",bayern,13.271301300000001,48.713928200000005
Volvo_V50_DPF_DRIVe_Business_Edition_Tuev_03/2018,8600,4,150000,volvo,v50,kombi,manuell,114,diesel,nein,12359,"Berlin, Stadt",berlin,13.453491199999998,52.446289099999994
Opel_Omega_MV6_3.0l,900,17,150000,opel,omega,kombi,manuell,211,benzin,ja,25575,Beringstedt,schleswig-holstein,9.533325200000002,54.1166992
Smart_smart_forfour,2300,11,125000,smart,forfour,kleinwagen,manuell,75,benzin,nein,73734,"Esslingen am Neckar, Stadt",baden-württemberg,9.297729499999999,48.736084000000005
VW_Passat_B6,6300,7,125000,volkswagen,passat,limousine,automatik,140,diesel,ja,58708,"Menden (Sauerland), Stadt",nordrhein-westfalen,7.800720200000001,51.44171139999999
Fiat_Punto_1.2_16V_Dynamic,3500,10,125000,fiat,punto,kleinwagen,manuell,77,benzin,nein,84347,"Pfarrkirchen, St",bayern,12.9381104,48.432128899999995
Fahrbereit_Tuev_bis_Maerz_2017_Opel_Astra_g_1.6_16_v,1300,18,150000,opel,astra,limousine,manuell,100,benzin,nein,47226,"Duisburg, Stadt",nordrhein-westfalen,6.715515099999999,51.406494099999996
Opel_Corsa_16V_Edition_100,1499,17,125000,opel,corsa,kleinwagen,manuell,65,benzin,nein,58675,"Hemer, Stadt",nordrhein-westfalen,7.772277800000001,51.3665161
Audi_A4_2.0_TDI_DPF_S_line_Sportpaket,22750,4,150000,audi,a4,limousine,automatik,177,diesel,nein,75173,"Pforzheim, Stadt",baden-württemberg,8.700073199999999,48.8833008
BMW_525d_Limousine,10800,8,150000,bmw,5er,limousine,automatik,197,diesel,nein,64665,Alsbach-Hähnlein,hessen,8.595886199999997,49.73870849999999
Mitsubishi_Pajero_Pinin_2.0_GDI_Styling,2500,13,150000,mitsubishi,andere,suv,manuell,129,benzin,nein,56182,Urbar,rheinland-pfalz,7.6333008,50.3833008
Audi_A4_Avant_2.0_TDI_DPF,7700,10,150000,audi,a4,kombi,manuell,140,diesel,nein,74172,"Neckarsulm, Stadt",baden-württemberg,9.225280799999998,49.1890869
Renault_Clio_1.5_dCi_Campus_KLIMA,2900,7,125000,renault,clio,kleinwagen,manuell,64,diesel,nein,80997,"München, Landeshauptstadt",bayern,11.478515599999998,48.1834717
Skoda_Superb_Combi_2.0_TDI_Ambition_Green_tec,15495,4,90000,skoda,superb,kombi,manuell,140,diesel,nein,42279,"Wuppertal, Stadt",nordrhein-westfalen,7.2357178,51.2990723
